fold,split,c_index,mean_auc,risk_mean,risk_std,s3_mean,s3_std,s5_mean,s5_std
0,train,0.5867724867724867,0.584277926777396,-0.08981256512728547,0.1707097675459477,0.635701372770159,0.04711108247323829,0.4846009959198004,0.05823863316131838
0,val,0.707196029776675,0.7376031746031746,-0.1044645075375835,0.15637454158300482,0.6403106583490014,0.044121386964496696,0.4900504208577993,0.05413336432707709
0,test,0.44607843137254904,0.4721460732441125,-0.13714570216834546,0.17401611839497114,0.649058190655797,0.04650369754269805,0.5009230515189197,0.058266990299664055
1,train,0.5165796868727419,0.5042499530791157,-0.046266065781325603,0.018510433172469865,0.6257716495712073,0.005402065115119465,0.48406320622386434,0.006482636279828175
1,val,0.49135802469135803,0.47909919709919707,-0.049564014002680776,0.023547826863505608,0.6267229442581896,0.006864505429935678,0.4852112593636531,0.00824152316380257
1,test,0.5658263305322129,0.5550286781379218,-0.05006296624397409,0.020470559828492062,0.6268792482880002,0.005948805842255652,0.4853925957602613,0.007153019679423597
2,train,0.5703077607473612,0.556380085979362,-0.08785021530153851,0.17302081872197567,0.61635439201385,0.048907248174984555,0.48593706871687375,0.0584929596962569
2,val,0.5862068965517241,0.6601072631072632,-0.10661235206450025,0.17221636280661085,0.6219797334138683,0.04882986847917977,0.49253333031698265,0.05844086573590888
2,test,0.6063829787234043,0.6702201959260783,-0.10038273396591345,0.1514292133937699,0.6206506019462458,0.0428322014974496,0.49071397682730233,0.05133511258241315
3,train,0.5752187297472456,0.5804039109782736,0.03064414172311498,0.15555302288779996,0.624050440366012,0.04355024289960182,0.49479061363997934,0.05233361102980261
3,val,0.5972602739726027,0.6534357611199717,-0.006728155476351579,0.15890391148958785,0.6348727944536561,0.0452983566729233,0.5077040374371203,0.054164639765824134
3,test,0.5515587529976019,0.5732775049295517,0.06238786267737548,0.16177438396085056,0.6145774027215322,0.045478689295006654,0.48367157566299473,0.05456992256537335
4,train,0.5732517412134144,0.5764109673675093,0.0035229967484635767,0.038830662113585074,0.6197331470060234,0.011313543108238356,0.4855649582598327,0.013483318150669396
4,val,0.5692307692307692,0.5846899951899952,-0.0004123931440214316,0.04396141170767411,0.6208702071614137,0.012863484017871005,0.4869266320964509,0.015305852974483627
4,test,0.5039370078740157,0.480109650697886,0.010926055318365494,0.02758705927235721,0.6175943548064263,0.008196218459821698,0.48300669848646804,0.00968655590603335
5,train,0.5966276499959073,0.6144875834289738,-0.007191734172340938,0.18297063646850947,0.6233115831009063,0.051546617522191134,0.4865110656927281,0.062178719219174006
5,val,0.6244019138755981,0.6639905623094029,0.016048265683154265,0.17168657651591746,0.6168556088005405,0.04983244609888276,0.4787302227309614,0.05943531075064435
5,test,0.4739454094292804,0.42633119620711535,0.038631314784288405,0.14190090628303048,0.6108149070403271,0.041422080833040796,0.47122028528919446,0.049326665894431306
6,train,0.5550788591975158,0.5431107663018683,-0.1594422512888154,0.06140314156649159,0.6200169828952447,0.01788114359037125,0.4841728511744225,0.021339625496527445
6,val,0.5566502463054187,0.5316246913580246,-0.17211112553874652,0.07889421303871887,0.6235773867984057,0.022429706356531957,0.48847966156632167,0.027011751124297642
6,test,0.5459057071960298,0.5421750341162106,-0.16844636152187983,0.07384023604022719,0.6225594417710568,0.02148618241728821,0.4872518917988301,0.025646738115325224
7,train,0.5652684903748734,0.5579913294496589,-0.07878640228843135,0.07517643254944947,0.6162507259618265,0.02188788906105231,0.4840404900113108,0.026005223281180934
7,val,0.5975903614457831,0.6908437118437118,-0.08651249607404073,0.07084102522264801,0.6186089960416613,0.020681870221586424,0.48678967204452434,0.02456604167497335
7,test,0.584,0.5821951089845826,-0.064877123820285,0.07289321748182923,0.6121286789924988,0.021302365222100886,0.4791771433901598,0.02527903222803026
8,train,0.5849906340919054,0.592441516308309,-0.07354703407828547,0.11508088762626302,0.616751183186873,0.033351317867885755,0.48647589064128294,0.03959793187080187
8,val,0.6365979381443299,0.6677714350779367,-0.08613911115874846,0.11810203707321398,0.6204603765655453,0.034216441001644185,0.4908568429553728,0.040642920066594944
8,test,0.6330532212885154,0.6547619047619047,-0.10435680967980418,0.13139938843463353,0.6255682451117786,0.03799627632119473,0.49701753793143405,0.04516833860291409
9,train,0.5554042144058969,0.551227470123451,0.10611534680576384,0.04093874577336487,0.6129873149412487,0.012168548014482488,0.48358220512332933,0.01430574516518455
9,val,0.5704057279236276,0.6336113769271664,0.10776533037424088,0.03571150519967379,0.6125260141880869,0.010669287559483594,0.4830248374892455,0.012516729430342096
9,test,0.7195121951219512,0.7277369142970648,0.10140389538016813,0.04816490888739844,0.6143546671907127,0.014310599851126257,0.48520766112756325,0.016828043184469125
